Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag
0.000,-0.03,0.00,-0.03,-0.0060,-0.0595,-1.1159,-0.5244,-0.3424,-1.2256
0.000,0.05,-0.02,0.07,-0.0058,-0.0593,-1.1153,-0.5997,-0.3047,-1.2063
0.000,-0.03,0.03,0.01,-0.0070,-0.0603,-1.1153,-0.6047,-0.3114,-1.1900
0.000,-0.03,-0.00,0.01,-0.0066,-0.0591,-1.1154,-0.5417,-0.3345,-1.2202
0.000,0.02,0.06,0.01,-0.0065,-0.0587,-1.1160,-0.5332,-0.3499,-1.2135
0.000,-0.03,0.03,-0.04,-0.0066,-0.0596,-1.1159,-0.5983,-0.3817,-1.2169
0.000,-0.00,0.06,0.04,-0.0057,-0.0593,-1.1161,-0.4832,-0.3719,-1.2211
0.000,-0.06,0.00,-0.04,-0.0064,-0.0597,-1.1158,-0.5986,-0.2901,-1.1859
0.000,-0.00,-0.02,0.01,-0.0063,-0.0596,-1.1158,-0.5858,-0.3091,-1.1980
0.000,0.02,0.09,0.01,-0.0061,-0.0587,-1.1155,-0.5531,-0.3461,-1.1966
0.000,-0.00,-0.02,-0.04,-0.0061,-0.0595,-1.1158,-0.6144,-0.3535,-1.2593
0.000,0.02,-0.08,0.04,-0.0059,-0.0599,-1.1155,-0.6125,-0.3403,-1.1615
0.000,0.02,-0.02,-0.01,-0.0055,-0.0597,-1.1149,-0.5856,-0.3492,-1.1640
0.000,0.06,-0.02,-0.04,-0.0060,-0.0592,-1.1155,-0.5225,-0.3082,-1.1667
0.000,-0.09,-0.02,-0.07,-0.0058,-0.0588,-1.1163,-0.5747,-0.3132,-1.2237
0.000,0.03,0.06,0.04,-0.0058,-0.0592,-1.1151,-0.5797,-0.2978,-1.2642
0.000,-0.00,0.12,-0.04,-0.0065,-0.0591,-1.1161,-0.6211,-0.3056,-1.2548
0.000,0.02,-0.02,-0.01,-0.0062,-0.0595,-1.1169,-0.6007,-0.3177,-1.2273
0.000,-0.00,0.03,0.01,-0.0059,-0.0593,-1.1158,-0.5424,-0.2883,-1.1906
0.000,-0.03,0.03,0.01,-0.0055,-0.0595,-1.1151,-0.5703,-0.3152,-1.2077
0.000,-0.00,0.03,0.07,-0.0060,-0.0593,-1.1161,-0.6177,-0.3280,-1.1980
0.000,-0.00,-0.02,-0.04,-0.0056,-0.0589,-1.1159,-0.5729,-0.3319,-1.2534
0.000,0.05,0.03,-0.01,-0.0063,-0.0590,-1.1148,-0.5593,-0.3417,-1.1327
