
$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
$PCHRP,885.846,0.000,0.000,0.000,-268.93,-88.52,291.61,*74
$PCHRR,885.846,0.00,0.00,0.00,0.96,0.00,0.00,*75
$PCHRG,885.846,0.000000,0.000000,0.000,-268.93,-88.52,291.61,*63

$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
$PCHRP,885.846,0.000,0.000,0.000,-268.93,-88.52,291.61,*74
$PCHRR,885.846,0.00,0.00,0.00,0.96,0.00,0.00,*75
$PCHRG,885.846,0.000000,0.000000,0.000,-268.93,-88.52,291.61,*63

$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
$PCHRP,885.846,0.000,0.000,0.000,-268.93,-88.52,291.61,*74
$PCHRR,885.846,0.00,0.00,0.00,0.96,0.00,0.00,*75
$PCHRG,885.846,0.000000,0.000000,0.000,-268.93,-88.52,291.61,*63

$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
$PCHRP,885.846,0.000,0.000,0.000,-268.93,-88.52,291.61,*74
$PCHRR,885.846,0.00,0.00,0.00,0.96,0.00,0.00,*75
$PCHRG,885.846,0.000000,0.000000,0.000,-268.93,-88.52,291.61,*63

$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
$PCHRP,885.846,0.000,0.000,0.000,-268.93,-88.52,291.61,*74
$PCHRR,885.846,0.00,0.00,0.00,0.96,0.00,0.00,*75
$PCHRG,885.846,0.000000,0.000000,0.000,-268.93,-88.52,291.61,*63

$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
$PCHRP,885.846,0.000,0.000,0.000,-268.93,-88.52,291.61,*74
$PCHRR,885.846,0.00,0.00,0.00,0.96,0.00,0.00,*75
$PCHRG,885.846,0.000000,0.000000,0.000,-268.93,-88.52,291.61,*63

$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
$PCHRP,885.846,0.000,0.000,0.000,-268.93,-88.52,291.61,*74
$PCHRR,885.846,0.00,0.00,0.00,0.96,0.00,0.00,*75
$PCHRG,885.846,0.000000,0.000000,0.000,-268.93,-88.52,291.61,*63

$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
$PCHRP,885.846,0.000,0.000,0.000,-268.93,-88.52,291.61,*74
$PCHRR,885.846,0.00,0.00,0.00,0.96,0.00,0.00,*75
$PCHRG,885.846,0.000000,0.000000,0.000,-268.93,-88.52,291.61,*63

$PCHRH,885.846,00,00,0.0,0,0,0,0,0,0,0,0,0,*7E
